ru,en
У текущего пользователя нет прав доступа к выбранному месту хранения,The current user does not have permission to access the selected storage location
Удален штрихкод,Deleted barcode
Удалена номенклатура,Item removed
Удалена строка,Removed line
Удалена строка с индексом[space],Deleted line with index[space]
Удалить,Delete
Уже есть открытая смена,There is already an open shift
Уровень,Level
Условия,Conditions
Условия оплаты,Terms of payment
Услуга,Service
Услуги,Services
Установить в себестоимость цену,Set cost price
Установить надбавки из видов цен,Set markups from price types
Установить надбавки из предыдущих прайсов,Set markups from previous prices
Установить налог,Set tax
Установить цены из предыдущих прайсов,Set prices from previous prices
Фактическое кол-во,Actual Qty
Фамилия,Surname
Физ лица,Individuals
Физические лица,Individuals
Физическое лицо,Individual
Фильтры,Filters
Фискализация,Fiscalization
Фискальный,Fiscal
Формат,Format
Формат шаблона,Template format
Формирование наименования,Formation of the name
Хост,Host
Цвет,Colour
Цена,Price
Цена без скидки,Price without discount
Цена включает налоги,Price includes taxes
Цена итоговая,Final price
Цена контрагента,Partner price
Цена продажи,Selling price
Цена со скидкой,Discount price
Центральная касса,Central cash desk
Цены,Prices
Чек расхода,Expense receipt
Черновик,Draft
Шаблон,Template
Шаблон должен быть включен для данного типа заказа,Template must be included for this type of order
Шаблон по умолчанию,Default template
Шаблон прайс-листа,Price list template
Шаблон этикетки,Label template
Шаблоны прайс-листа,Price list templates
Шаблоны этикетки,Label templates
Штрих-код не найден,Barcode not found
Штрихкод,Barcode
Штрихкод не найден,Barcode not found
Штрихкод уже присутствует в базе данных.,The barcode is already in the database.
Штрихкоды,Barcodes
Штука,Thing
Экспорт атрибутов,Exporting attributes
Экспорт банков,Bank export
Экспорт единиц измерения,Exporting Units
Экспорт касс,Export cash registers
Экспорт категорий,Export categories
Экспорт мест хранения,Export of storage locations
Экспорт налогов на закупку,Export purchase taxes
Экспорт налогов на реализацию,Export sales taxes
Экспорт организаций,Export organizations
Экспорт остатков,Export of residues
Экспорт производных номенклатур,Exporting Derived Items
Экспорт себестоимостей,Export of cost prices
Экспорт соотношений единиц измерений,Exporting unit ratios
Экспорт спецификаций,Export specifications
Экспорт статей ДДС,Export of DDS articles
Экспорт стран,Export countries
Экспорт строк спецификаций,Exporting BOM Lines
Импорт счетов,Import accounts
Экспорт счетов,Export accounts
Экспорт товаров,Export of Products
Экспорт услуг,Export of services
Экспорт физических лиц,Export of individuals
Экспорт штрихкодов,Exporting barcodes
Электронная почта,Email
Этикетка,Label
Этикетка 58x40,Label 58x40
Этикетка 58x60,Label 58x60
Этикетки,Labels
Этот год,This year
Этот месяц,This month
Юридические данные,Legal data
Является покупателем,Is a Customer
Является поставщиком,Is a Vendor
Выбор видов цен,Selection of price types
Кол-во поступившее,Number of received
Кол-во отправленное,Quantity sent
Текущий остаток,Current balance
Текущий остаток (с учетом вложенности),Current balance (including nesting)
Дата последней отгрузки,Last Ship Date
Запрет отрицательных остатков,Prohibiting negative balances
Текущий остаток не может быть отрицательным,The current balance cannot be negative
Размещенное количество не может быть больше принятого,The amount placed cannot be greater than the accepted amount
Размещено,Posted by
Изменять цены,Change prices
Запрещено удалять виды цен[comma] по которым есть прайсы,It is forbidden to delete the types of prices for which there are prices
Регистр резервирования,Reservation register
Зарезервированое кол-во,Reserved quantity
Зарезервировано (с учетом вложенности),Reserved (including nesting)
Доступный остаток (без учета изменений),Available balance (excluding changes)
Доступный остаток (с учетом вложенности),Available balance (including nesting)
Доступный остаток (с учетом вложенности без учета изменений),Available balance (including nesting, excluding changes)
Доступный остаток не может быть отрицательным,Available balance cannot be negative
Незапланированное,Unplanned
Строка поступления,Receipt line
Товар не предназначен для закупки,The product is not intended for purchase
Планируемое количество должно быть от 0 до максимально разрешенного,The planned amount should be between 0 and the maximum allowed
Строки поступлений,Receipt lines
Незапланированное поступление,Unscheduled admission
Не задано место хранение (куда) для перемещения,Storage location (where) for moving is not specified
Разновидности,Variations
Заказ поставщику[space],Purchase order[space]
Результат инвентаризации,Inventory result
Место хранения должно быть дочерним от места хранения из документа потупления,The storage location must be a child of the storage location from the document
Разместить (+),Place (+)
Незапланированная,Unplanned
[space]отгрузки,[space]delivery
Типы отгрузок,Delivery types
Нельзя удалять налог, участвующий в расчетах,You cannot remove tax involved in calculations
Ед .изм.,Unit.
Без изображения,No picture
Отпуск разрешил,Vacation allowed
Главный (старший) бухгалтер,Chief (senior) accountant
Отпуск произвел,The leave produced
Отпуск разрешил,Vacation allowed
Руководитель организации,Head of the organization
ИНН и ОКПО организаций,TIN and OKPO organizations
Запрос ценового предложения,Request for a quote
Ошибка -[space],Error -[space]
Ошибка - нет связи с хостом АТОЛ v.10,Error - there is no connection with the ATOL v.10 host
Ошибка - потеряна связь с хостом АТОЛ v.10,Error - lost connection with ATOL v.10 host
Заказы покупателю[space],Sales orders[space]
Заказ-наряд,Work order
Акт выполненных работ,Certificate of completion
